playerID,year,stint,tmID,S,G,GDG,G/S
ovechal01,2005,1,WAS,13,6,3,0.46153846153846156
ovechal01,2006,1,WAS,12,2,0,0.16666666666666666
ovechal01,2007,1,WAS,6,1,0,0.16666666666666666
ovechal01,2008,1,WAS,7,2,0,0.2857142857142857
ovechal01,2009,1,WAS,9,2,1,0.2222222222222222
ovechal01,2010,1,WAS,10,4,3,0.4
ovechal01,2011,1,WAS,3,8,0,2.6666666666666665
